review_text,sentiment,star_rating,category
"Neither great nor terrible, just another clothing.",neutral,3,clothing
"Amazing experience with this travel, will buy again!",positive,5,travel
"Mediocre performance, but does the job for a travel.",neutral,3,travel
The best travel I have ever used. Totally worth it!,positive,5,travel
"Superb healthcare, high quality and long-lasting.",positive,4,healthcare
"Superb movies, high quality and long-lasting.",positive,5,movies
"Very disappointed with this customer_service, expected better.",negative,2,customer_service
Absolutely love this movies! Exceeded my expectations.,positive,5,movies
The best clothing I have ever used. Totally worth it!,positive,5,clothing
Absolutely love this software! Exceeded my expectations.,positive,4,software
"Great value for money, perfect for my needs in software.",positive,5,software
"The software is decent, not great but not bad either.",neutral,3,software
"The worst healthcare I have ever bought, do not recommend.",negative,1,healthcare
"The worst movies I have ever bought, do not recommend.",negative,2,movies
"Not worth the hype, bad healthcare, regret my purchase.",negative,2,healthcare
"Great value for money, perfect for my needs in electronics.",positive,5,electronics
"Neither great nor terrible, just another healthcare.",neutral,3,healthcare
"The food is decent, not great but not bad either.",neutral,3,food
The movies meets expectations but isn't impressive.,neutral,3,movies
"Not worth the hype, bad customer_service, regret my purchase.",negative,1,customer_service
"Not worth the hype, bad healthcare, regret my purchase.",negative,2,healthcare
"Horrible experience with this food, waste of money.",negative,2,food
"Not worth the hype, bad food, regret my purchase.",negative,1,food
"Mediocre performance, but does the job for a customer_service.",neutral,3,customer_service
"Mediocre performance, but does the job for a clothing.",neutral,3,clothing
"Terrible travel, completely unreliable and frustrating.",negative,2,travel
"The worst healthcare I have ever bought, do not recommend.",negative,2,healthcare
"Mediocre performance, but does the job for a travel.",neutral,3,travel
"An average travel, nothing to complain about.",neutral,3,travel
"Not worth the hype, bad healthcare, regret my purchase.",negative,2,healthcare
"An average travel, nothing to complain about.",neutral,3,travel
"Superb clothing, high quality and long-lasting.",positive,4,clothing
"The worst movies I have ever bought, do not recommend.",negative,2,movies
"Horrible experience with this food, waste of money.",negative,1,food
"Neither great nor terrible, just another software.",neutral,3,software
Absolutely love this clothing! Exceeded my expectations.,positive,4,clothing
"The worst electronics I have ever bought, do not recommend.",negative,1,electronics
"The worst healthcare I have ever bought, do not recommend.",negative,2,healthcare
"An average movies, nothing to complain about.",neutral,3,movies
Absolutely love this travel! Exceeded my expectations.,positive,4,travel
"Amazing experience with this travel, will buy again!",positive,5,travel
Absolutely love this customer_service! Exceeded my expectations.,positive,4,customer_service
"The worst travel I have ever bought, do not recommend.",negative,1,travel
"Great value for money, perfect for my needs in clothing.",positive,5,clothing
"The worst electronics I have ever bought, do not recommend.",negative,1,electronics
"Amazing experience with this movies, will buy again!",positive,5,movies
"Terrible movies, completely unreliable and frustrating.",negative,2,movies
"Very disappointed with this healthcare, expected better.",negative,1,healthcare
"Not worth the hype, bad customer_service, regret my purchase.",negative,2,customer_service
"Superb food, high quality and long-lasting.",positive,4,food
"Horrible experience with this electronics, waste of money.",negative,2,electronics
Absolutely love this movies! Exceeded my expectations.,positive,4,movies
The customer_service meets expectations but isn't impressive.,neutral,3,customer_service
"The healthcare is decent, not great but not bad either.",neutral,3,healthcare
"The electronics is decent, not great but not bad either.",neutral,3,electronics
The clothing meets expectations but isn't impressive.,neutral,3,clothing
"Horrible experience with this movies, waste of money.",negative,1,movies
"Mediocre performance, but does the job for a customer_service.",neutral,3,customer_service
"Superb electronics, high quality and long-lasting.",positive,5,electronics
"Great value for money, perfect for my needs in movies.",positive,4,movies
"Great value for money, perfect for my needs in travel.",positive,4,travel
"Amazing experience with this software, will buy again!",positive,5,software
The best healthcare I have ever used. Totally worth it!,positive,4,healthcare
The software meets expectations but isn't impressive.,neutral,3,software
"The worst software I have ever bought, do not recommend.",negative,1,software
Absolutely love this customer_service! Exceeded my expectations.,positive,5,customer_service
"An average movies, nothing to complain about.",neutral,3,movies
"The customer_service is decent, not great but not bad either.",neutral,3,customer_service
"An average movies, nothing to complain about.",neutral,3,movies
"The worst healthcare I have ever bought, do not recommend.",negative,2,healthcare
"Amazing experience with this electronics, will buy again!",positive,5,electronics
"Not worth the hype, bad movies, regret my purchase.",negative,1,movies
"Amazing experience with this clothing, will buy again!",positive,5,clothing
The clothing meets expectations but isn't impressive.,neutral,3,clothing
"Superb electronics, high quality and long-lasting.",positive,5,electronics
The best customer_service I have ever used. Totally worth it!,positive,5,customer_service
"Not worth the hype, bad electronics, regret my purchase.",negative,2,electronics
"Mediocre performance, but does the job for a healthcare.",neutral,3,healthcare
The best movies I have ever used. Totally worth it!,positive,4,movies
Absolutely love this movies! Exceeded my expectations.,positive,5,movies
"Very disappointed with this food, expected better.",negative,1,food
"Very disappointed with this electronics, expected better.",negative,1,electronics
Absolutely love this movies! Exceeded my expectations.,positive,5,movies
"Horrible experience with this healthcare, waste of money.",negative,1,healthcare
"Neither great nor terrible, just another software.",neutral,3,software
"Not worth the hype, bad customer_service, regret my purchase.",negative,2,customer_service
"The healthcare is decent, not great but not bad either.",neutral,3,healthcare
Absolutely love this movies! Exceeded my expectations.,positive,4,movies
"The food is decent, not great but not bad either.",neutral,3,food
The best travel I have ever used. Totally worth it!,positive,5,travel
"Neither great nor terrible, just another customer_service.",neutral,3,customer_service
"The clothing is decent, not great but not bad either.",neutral,3,clothing
The travel meets expectations but isn't impressive.,neutral,3,travel
The healthcare meets expectations but isn't impressive.,neutral,3,healthcare
"Not worth the hype, bad customer_service, regret my purchase.",negative,2,customer_service
"Terrible electronics, completely unreliable and frustrating.",negative,1,electronics
"Great value for money, perfect for my needs in healthcare.",positive,5,healthcare
"Terrible clothing, completely unreliable and frustrating.",negative,1,clothing
Absolutely love this electronics! Exceeded my expectations.,positive,4,electronics
"Great value for money, perfect for my needs in movies.",positive,4,movies
"Superb electronics, high quality and long-lasting.",positive,4,electronics
Absolutely love this clothing! Exceeded my expectations.,positive,4,clothing
"Great value for money, perfect for my needs in food.",positive,5,food
"Very disappointed with this software, expected better.",negative,1,software
Absolutely love this clothing! Exceeded my expectations.,positive,4,clothing
The best travel I have ever used. Totally worth it!,positive,5,travel
"Very disappointed with this clothing, expected better.",negative,2,clothing
Absolutely love this electronics! Exceeded my expectations.,positive,4,electronics
"Amazing experience with this electronics, will buy again!",positive,5,electronics
"Very disappointed with this travel, expected better.",negative,2,travel
"Mediocre performance, but does the job for a electronics.",neutral,3,electronics
The electronics meets expectations but isn't impressive.,neutral,3,electronics
"The food is decent, not great but not bad either.",neutral,3,food
"Not worth the hype, bad software, regret my purchase.",negative,2,software
"Amazing experience with this software, will buy again!",positive,5,software
"Amazing experience with this movies, will buy again!",positive,4,movies
"Great value for money, perfect for my needs in clothing.",positive,5,clothing
"An average customer_service, nothing to complain about.",neutral,3,customer_service
"Amazing experience with this movies, will buy again!",positive,4,movies
"Superb customer_service, high quality and long-lasting.",positive,5,customer_service
The best clothing I have ever used. Totally worth it!,positive,5,clothing
"Not worth the hype, bad movies, regret my purchase.",negative,2,movies
Absolutely love this healthcare! Exceeded my expectations.,positive,4,healthcare
"Very disappointed with this travel, expected better.",negative,1,travel
The best food I have ever used. Totally worth it!,positive,4,food
"Not worth the hype, bad software, regret my purchase.",negative,1,software
"Very disappointed with this electronics, expected better.",negative,1,electronics
"Superb customer_service, high quality and long-lasting.",positive,5,customer_service
The movies meets expectations but isn't impressive.,neutral,3,movies
"Superb customer_service, high quality and long-lasting.",positive,4,customer_service
"Amazing experience with this healthcare, will buy again!",positive,4,healthcare
"Neither great nor terrible, just another healthcare.",neutral,3,healthcare
The best customer_service I have ever used. Totally worth it!,positive,5,customer_service
Absolutely love this software! Exceeded my expectations.,positive,4,software
"Not worth the hype, bad travel, regret my purchase.",negative,2,travel
"The food is decent, not great but not bad either.",neutral,3,food
The software meets expectations but isn't impressive.,neutral,3,software
"An average healthcare, nothing to complain about.",neutral,3,healthcare
"Mediocre performance, but does the job for a food.",neutral,3,food
"The food is decent, not great but not bad either.",neutral,3,food
"Horrible experience with this software, waste of money.",negative,2,software
"Very disappointed with this movies, expected better.",negative,1,movies
"Amazing experience with this movies, will buy again!",positive,4,movies
"Terrible travel, completely unreliable and frustrating.",negative,1,travel
"The software is decent, not great but not bad either.",neutral,3,software
"Horrible experience with this electronics, waste of money.",negative,1,electronics
"Great value for money, perfect for my needs in travel.",positive,4,travel
"The customer_service is decent, not great but not bad either.",neutral,3,customer_service
"The worst software I have ever bought, do not recommend.",negative,2,software
Absolutely love this travel! Exceeded my expectations.,positive,5,travel
"Great value for money, perfect for my needs in clothing.",positive,5,clothing
"Horrible experience with this clothing, waste of money.",negative,1,clothing
The travel meets expectations but isn't impressive.,neutral,3,travel
"Terrible food, completely unreliable and frustrating.",negative,2,food
"The food is decent, not great but not bad either.",neutral,3,food
"Terrible electronics, completely unreliable and frustrating.",negative,1,electronics
"Amazing experience with this software, will buy again!",positive,4,software
"The food is decent, not great but not bad either.",neutral,3,food
"Great value for money, perfect for my needs in software.",positive,5,software
"The clothing is decent, not great but not bad either.",neutral,3,clothing
"Superb movies, high quality and long-lasting.",positive,5,movies
The software meets expectations but isn't impressive.,neutral,3,software
"Not worth the hype, bad travel, regret my purchase.",negative,1,travel
The best software I have ever used. Totally worth it!,positive,4,software
"Horrible experience with this food, waste of money.",negative,2,food
"Very disappointed with this software, expected better.",negative,1,software
"Superb clothing, high quality and long-lasting.",positive,4,clothing
"Neither great nor terrible, just another food.",neutral,3,food
"Amazing experience with this travel, will buy again!",positive,4,travel
"Amazing experience with this travel, will buy again!",positive,5,travel
"The worst customer_service I have ever bought, do not recommend.",negative,1,customer_service
"Neither great nor terrible, just another customer_service.",neutral,3,customer_service
"The worst software I have ever bought, do not recommend.",negative,2,software
The best food I have ever used. Totally worth it!,positive,4,food
"Amazing experience with this software, will buy again!",positive,4,software
"Mediocre performance, but does the job for a clothing.",neutral,3,clothing
The best software I have ever used. Totally worth it!,positive,4,software
"Very disappointed with this clothing, expected better.",negative,2,clothing
"Superb clothing, high quality and long-lasting.",positive,4,clothing
"Not worth the hype, bad healthcare, regret my purchase.",negative,1,healthcare
"Terrible movies, completely unreliable and frustrating.",negative,1,movies
"Not worth the hype, bad electronics, regret my purchase.",negative,2,electronics
"Very disappointed with this food, expected better.",negative,2,food
"An average movies, nothing to complain about.",neutral,3,movies
"Mediocre performance, but does the job for a software.",neutral,3,software
"Superb movies, high quality and long-lasting.",positive,4,movies
"Not worth the hype, bad healthcare, regret my purchase.",negative,1,healthcare
"Mediocre performance, but does the job for a electronics.",neutral,3,electronics
"Amazing experience with this customer_service, will buy again!",positive,5,customer_service
The customer_service meets expectations but isn't impressive.,neutral,3,customer_service
"Superb healthcare, high quality and long-lasting.",positive,5,healthcare
"Superb food, high quality and long-lasting.",positive,5,food
Absolutely love this food! Exceeded my expectations.,positive,4,food
The movies meets expectations but isn't impressive.,neutral,3,movies
"Mediocre performance, but does the job for a software.",neutral,3,software
"Very disappointed with this electronics, expected better.",negative,1,electronics
"Not worth the hype, bad travel, regret my purchase.",negative,2,travel
"Very disappointed with this healthcare, expected better.",negative,1,healthcare
"Neither great nor terrible, just another customer_service.",neutral,3,customer_service
"Neither great nor terrible, just another healthcare.",neutral,3,healthcare
"Terrible clothing, completely unreliable and frustrating.",negative,1,clothing
The clothing meets expectations but isn't impressive.,neutral,3,clothing
The clothing meets expectations but isn't impressive.,neutral,3,clothing
"Horrible experience with this software, waste of money.",negative,2,software
"The clothing is decent, not great but not bad either.",neutral,3,clothing
"Very disappointed with this travel, expected better.",negative,2,travel
"Superb travel, high quality and long-lasting.",positive,5,travel
"Terrible food, completely unreliable and frustrating.",negative,2,food
"Amazing experience with this food, will buy again!",positive,4,food
"Superb movies, high quality and long-lasting.",positive,5,movies
The best food I have ever used. Totally worth it!,positive,5,food
The healthcare meets expectations but isn't impressive.,neutral,3,healthcare
"Neither great nor terrible, just another customer_service.",neutral,3,customer_service
"Mediocre performance, but does the job for a clothing.",neutral,3,clothing
"The customer_service is decent, not great but not bad either.",neutral,3,customer_service
"Not worth the hype, bad travel, regret my purchase.",negative,1,travel
"Terrible healthcare, completely unreliable and frustrating.",negative,1,healthcare
"The worst clothing I have ever bought, do not recommend.",negative,2,clothing
"The worst healthcare I have ever bought, do not recommend.",negative,1,healthcare
"The software is decent, not great but not bad either.",neutral,3,software
"Horrible experience with this travel, waste of money.",negative,1,travel
"The worst travel I have ever bought, do not recommend.",negative,2,travel
"Amazing experience with this food, will buy again!",positive,5,food
"Superb electronics, high quality and long-lasting.",positive,5,electronics
"An average customer_service, nothing to complain about.",neutral,3,customer_service
The best travel I have ever used. Totally worth it!,positive,4,travel
"The worst electronics I have ever bought, do not recommend.",negative,1,electronics
The software meets expectations but isn't impressive.,neutral,3,software
"Superb travel, high quality and long-lasting.",positive,4,travel
"Neither great nor terrible, just another travel.",neutral,3,travel
"Neither great nor terrible, just another healthcare.",neutral,3,healthcare
"Superb healthcare, high quality and long-lasting.",positive,4,healthcare
"Horrible experience with this healthcare, waste of money.",negative,2,healthcare
Absolutely love this food! Exceeded my expectations.,positive,5,food
The best movies I have ever used. Totally worth it!,positive,4,movies
Absolutely love this software! Exceeded my expectations.,positive,5,software
"Neither great nor terrible, just another electronics.",neutral,3,electronics
The food meets expectations but isn't impressive.,neutral,3,food
The electronics meets expectations but isn't impressive.,neutral,3,electronics
Absolutely love this clothing! Exceeded my expectations.,positive,4,clothing
"Superb software, high quality and long-lasting.",positive,4,software
"Superb electronics, high quality and long-lasting.",positive,5,electronics
"Mediocre performance, but does the job for a electronics.",neutral,3,electronics
"Very disappointed with this software, expected better.",negative,2,software
"Great value for money, perfect for my needs in clothing.",positive,5,clothing
"Horrible experience with this healthcare, waste of money.",negative,1,healthcare
"Great value for money, perfect for my needs in food.",positive,4,food
The software meets expectations but isn't impressive.,neutral,3,software
"An average food, nothing to complain about.",neutral,3,food
"Horrible experience with this movies, waste of money.",negative,2,movies
"Horrible experience with this clothing, waste of money.",negative,2,clothing
"Terrible software, completely unreliable and frustrating.",negative,2,software
"Great value for money, perfect for my needs in customer_service.",positive,5,customer_service
"Great value for money, perfect for my needs in healthcare.",positive,4,healthcare
The electronics meets expectations but isn't impressive.,neutral,3,electronics
"Very disappointed with this healthcare, expected better.",negative,2,healthcare
"Horrible experience with this travel, waste of money.",negative,2,travel
"Mediocre performance, but does the job for a electronics.",neutral,3,electronics
The best clothing I have ever used. Totally worth it!,positive,5,clothing
"Superb movies, high quality and long-lasting.",positive,4,movies
"Great value for money, perfect for my needs in electronics.",positive,4,electronics
"Neither great nor terrible, just another customer_service.",neutral,3,customer_service
"The worst food I have ever bought, do not recommend.",negative,1,food
"Great value for money, perfect for my needs in software.",positive,4,software
"An average electronics, nothing to complain about.",neutral,3,electronics
The electronics meets expectations but isn't impressive.,neutral,3,electronics
"An average clothing, nothing to complain about.",neutral,3,clothing
"Terrible movies, completely unreliable and frustrating.",negative,1,movies
"Terrible electronics, completely unreliable and frustrating.",negative,1,electronics
"Not worth the hype, bad customer_service, regret my purchase.",negative,2,customer_service
"Amazing experience with this clothing, will buy again!",positive,4,clothing
Absolutely love this software! Exceeded my expectations.,positive,5,software
"Not worth the hype, bad healthcare, regret my purchase.",negative,1,healthcare
"Superb food, high quality and long-lasting.",positive,4,food
"Amazing experience with this customer_service, will buy again!",positive,4,customer_service
"Very disappointed with this clothing, expected better.",negative,1,clothing
"Amazing experience with this travel, will buy again!",positive,5,travel
"Mediocre performance, but does the job for a electronics.",neutral,3,electronics
The best healthcare I have ever used. Totally worth it!,positive,5,healthcare
"Horrible experience with this healthcare, waste of money.",negative,1,healthcare
"Terrible food, completely unreliable and frustrating.",negative,1,food
"An average healthcare, nothing to complain about.",neutral,3,healthcare
"Horrible experience with this travel, waste of money.",negative,2,travel
"Great value for money, perfect for my needs in healthcare.",positive,4,healthcare
Absolutely love this healthcare! Exceeded my expectations.,positive,4,healthcare
"The food is decent, not great but not bad either.",neutral,3,food
Absolutely love this healthcare! Exceeded my expectations.,positive,4,healthcare
"An average travel, nothing to complain about.",neutral,3,travel
"Not worth the hype, bad electronics, regret my purchase.",negative,2,electronics
"The healthcare is decent, not great but not bad either.",neutral,3,healthcare
"Very disappointed with this food, expected better.",negative,2,food
"Superb food, high quality and long-lasting.",positive,4,food
"Very disappointed with this customer_service, expected better.",negative,2,customer_service
The best clothing I have ever used. Totally worth it!,positive,4,clothing
Absolutely love this clothing! Exceeded my expectations.,positive,5,clothing
Absolutely love this clothing! Exceeded my expectations.,positive,5,clothing
"Neither great nor terrible, just another electronics.",neutral,3,electronics
"Not worth the hype, bad software, regret my purchase.",negative,2,software
"The customer_service is decent, not great but not bad either.",neutral,3,customer_service
"Not worth the hype, bad electronics, regret my purchase.",negative,2,electronics
"An average software, nothing to complain about.",neutral,3,software
"Neither great nor terrible, just another software.",neutral,3,software
"The clothing is decent, not great but not bad either.",neutral,3,clothing
"Very disappointed with this food, expected better.",negative,2,food
"Horrible experience with this movies, waste of money.",negative,1,movies
"Very disappointed with this customer_service, expected better.",negative,2,customer_service
"The movies is decent, not great but not bad either.",neutral,3,movies
The electronics meets expectations but isn't impressive.,neutral,3,electronics
The best healthcare I have ever used. Totally worth it!,positive,4,healthcare
"Mediocre performance, but does the job for a clothing.",neutral,3,clothing
The movies meets expectations but isn't impressive.,neutral,3,movies
"Amazing experience with this software, will buy again!",positive,4,software
"Mediocre performance, but does the job for a clothing.",neutral,3,clothing
"The worst travel I have ever bought, do not recommend.",negative,1,travel
The food meets expectations but isn't impressive.,neutral,3,food
Absolutely love this travel! Exceeded my expectations.,positive,5,travel
"Mediocre performance, but does the job for a customer_service.",neutral,3,customer_service
The best food I have ever used. Totally worth it!,positive,5,food
"Great value for money, perfect for my needs in electronics.",positive,4,electronics
"Very disappointed with this customer_service, expected better.",negative,2,customer_service
"Great value for money, perfect for my needs in customer_service.",positive,5,customer_service
"The food is decent, not great but not bad either.",neutral,3,food
"Superb customer_service, high quality and long-lasting.",positive,5,customer_service
"Mediocre performance, but does the job for a healthcare.",neutral,3,healthcare
"Horrible experience with this food, waste of money.",negative,2,food
"Not worth the hype, bad healthcare, regret my purchase.",negative,1,healthcare
"Mediocre performance, but does the job for a customer_service.",neutral,3,customer_service
"The worst software I have ever bought, do not recommend.",negative,2,software
The movies meets expectations but isn't impressive.,neutral,3,movies
The best clothing I have ever used. Totally worth it!,positive,4,clothing
"Neither great nor terrible, just another customer_service.",neutral,3,customer_service
"Neither great nor terrible, just another healthcare.",neutral,3,healthcare
"Terrible electronics, completely unreliable and frustrating.",negative,1,electronics
"Neither great nor terrible, just another electronics.",neutral,3,electronics
"Terrible electronics, completely unreliable and frustrating.",negative,1,electronics
"The travel is decent, not great but not bad either.",neutral,3,travel
Absolutely love this movies! Exceeded my expectations.,positive,5,movies
"Amazing experience with this healthcare, will buy again!",positive,4,healthcare
The travel meets expectations but isn't impressive.,neutral,3,travel
"Terrible healthcare, completely unreliable and frustrating.",negative,2,healthcare
"Not worth the hype, bad electronics, regret my purchase.",negative,1,electronics
"Terrible travel, completely unreliable and frustrating.",negative,2,travel
"Horrible experience with this travel, waste of money.",negative,2,travel
"Neither great nor terrible, just another customer_service.",neutral,3,customer_service
"Terrible customer_service, completely unreliable and frustrating.",negative,1,customer_service
"An average customer_service, nothing to complain about.",neutral,3,customer_service
"Neither great nor terrible, just another healthcare.",neutral,3,healthcare
"Very disappointed with this movies, expected better.",negative,2,movies
"Terrible healthcare, completely unreliable and frustrating.",negative,2,healthcare
"Amazing experience with this customer_service, will buy again!",positive,4,customer_service
The clothing meets expectations but isn't impressive.,neutral,3,clothing
Absolutely love this movies! Exceeded my expectations.,positive,4,movies
"Superb travel, high quality and long-lasting.",positive,5,travel
"Amazing experience with this software, will buy again!",positive,4,software
"Great value for money, perfect for my needs in clothing.",positive,4,clothing
"The worst electronics I have ever bought, do not recommend.",negative,2,electronics
"Neither great nor terrible, just another food.",neutral,3,food
"Not worth the hype, bad food, regret my purchase.",negative,2,food
"An average food, nothing to complain about.",neutral,3,food
"Neither great nor terrible, just another software.",neutral,3,software
"Great value for money, perfect for my needs in customer_service.",positive,4,customer_service
"Neither great nor terrible, just another clothing.",neutral,3,clothing
"Horrible experience with this electronics, waste of money.",negative,2,electronics
"Mediocre performance, but does the job for a clothing.",neutral,3,clothing
"Mediocre performance, but does the job for a software.",neutral,3,software
The best food I have ever used. Totally worth it!,positive,4,food
"Horrible experience with this customer_service, waste of money.",negative,1,customer_service
"Not worth the hype, bad electronics, regret my purchase.",negative,1,electronics
The travel meets expectations but isn't impressive.,neutral,3,travel
"Superb food, high quality and long-lasting.",positive,4,food
"Great value for money, perfect for my needs in food.",positive,4,food
"Superb food, high quality and long-lasting.",positive,4,food
"Not worth the hype, bad movies, regret my purchase.",negative,2,movies
"Not worth the hype, bad healthcare, regret my purchase.",negative,2,healthcare
Absolutely love this software! Exceeded my expectations.,positive,4,software
The electronics meets expectations but isn't impressive.,neutral,3,electronics
The software meets expectations but isn't impressive.,neutral,3,software
"Horrible experience with this travel, waste of money.",negative,1,travel
"The clothing is decent, not great but not bad either.",neutral,3,clothing
"An average customer_service, nothing to complain about.",neutral,3,customer_service
"An average travel, nothing to complain about.",neutral,3,travel
The movies meets expectations but isn't impressive.,neutral,3,movies
"An average customer_service, nothing to complain about.",neutral,3,customer_service
Absolutely love this movies! Exceeded my expectations.,positive,4,movies
"Mediocre performance, but does the job for a customer_service.",neutral,3,customer_service
"The worst food I have ever bought, do not recommend.",negative,1,food
The best electronics I have ever used. Totally worth it!,positive,4,electronics
"The electronics is decent, not great but not bad either.",neutral,3,electronics
"Great value for money, perfect for my needs in healthcare.",positive,5,healthcare
"Mediocre performance, but does the job for a movies.",neutral,3,movies
"The healthcare is decent, not great but not bad either.",neutral,3,healthcare
"Mediocre performance, but does the job for a software.",neutral,3,software
"Not worth the hype, bad software, regret my purchase.",negative,1,software
"Very disappointed with this customer_service, expected better.",negative,1,customer_service
"Very disappointed with this healthcare, expected better.",negative,1,healthcare
The best movies I have ever used. Totally worth it!,positive,4,movies
"Terrible customer_service, completely unreliable and frustrating.",negative,2,customer_service
"The movies is decent, not great but not bad either.",neutral,3,movies
"Mediocre performance, but does the job for a food.",neutral,3,food
"Amazing experience with this food, will buy again!",positive,4,food
"An average clothing, nothing to complain about.",neutral,3,clothing
"Great value for money, perfect for my needs in movies.",positive,4,movies
The best clothing I have ever used. Totally worth it!,positive,5,clothing
"Horrible experience with this travel, waste of money.",negative,1,travel
"Great value for money, perfect for my needs in customer_service.",positive,5,customer_service
The best travel I have ever used. Totally worth it!,positive,4,travel
"Not worth the hype, bad healthcare, regret my purchase.",negative,1,healthcare
"The worst travel I have ever bought, do not recommend.",negative,1,travel
"Great value for money, perfect for my needs in food.",positive,4,food
The clothing meets expectations but isn't impressive.,neutral,3,clothing
"Horrible experience with this movies, waste of money.",negative,2,movies
"Horrible experience with this travel, waste of money.",negative,2,travel
"Great value for money, perfect for my needs in travel.",positive,5,travel
"Horrible experience with this travel, waste of money.",negative,1,travel
"Mediocre performance, but does the job for a healthcare.",neutral,3,healthcare
The best food I have ever used. Totally worth it!,positive,4,food
"Mediocre performance, but does the job for a customer_service.",neutral,3,customer_service
"The software is decent, not great but not bad either.",neutral,3,software
"Terrible movies, completely unreliable and frustrating.",negative,2,movies
"Mediocre performance, but does the job for a customer_service.",neutral,3,customer_service
The best travel I have ever used. Totally worth it!,positive,4,travel
"The travel is decent, not great but not bad either.",neutral,3,travel
"Very disappointed with this food, expected better.",negative,2,food
"Terrible travel, completely unreliable and frustrating.",negative,2,travel
"Great value for money, perfect for my needs in food.",positive,5,food
The best movies I have ever used. Totally worth it!,positive,4,movies
"An average movies, nothing to complain about.",neutral,3,movies
"Horrible experience with this clothing, waste of money.",negative,2,clothing
The best electronics I have ever used. Totally worth it!,positive,4,electronics
"The healthcare is decent, not great but not bad either.",neutral,3,healthcare
The best movies I have ever used. Totally worth it!,positive,4,movies
"Very disappointed with this food, expected better.",negative,1,food
